,walcl,rrp,tga,net_liq,vix,us10y,dxy,net_liq_wow,net_liq_4w,vix_wow,vix_4w,us10y_wow,us10y_4w,dxy_wow,dxy_4w,nq_week_ret,nq_close_pos,nq_week_range,nq_mom_4w,nq_mom_12w,nq_vol_regime,es_nq_spread,realized_vol,fwd_return,fwd_vol,fwd_points,label,nq_1h_drift,nq_1h_vol
2024-07-04,7221.52,496.405,761.373,5996.723199999999,14.219032258064518,4.268,105.76800231933592,-161.23455000000104,-143.1550500000012,-0.1258103569475892,0.3550613137545912,0.0304999999999999,-0.2720000000000002,0.3380020141601534,0.980501937866208,0.017418992320659354,0.999999999997935,0.02228691089837997,0.052407245955633064,0.08257040718458453,0.8365835158919529,0.00985068514145726,0.014697439447188255,0.001392212812960203,0.027889029965917626,30.25,0.0,0.00013543525933457296,0.0013485696605345472
2024-07-11,7224.079,410.9792000000001,736.402,5963.742,13.461432360742704,4.407500000000001,105.72250175476074,-32.98119999999926,-190.70279999999912,-0.7575998973218123,-0.1982646089542648,0.1395000000000008,0.0435000000000007,-0.0455005645751924,1.4645030975341768,0.001392212812960203,0.0,0.02104948697620443,0.026901702594598342,0.1372105785815083,1.495899521948485,-0.007010435294322104,0.027889029965917626,-0.02493307136373557,0.02895812116732373,-542.5,-1.0,-9.39905494751541e-06,0.001606382002691505
2024-07-18,7208.247,404.1034,751.593,6076.6978,13.759621212121212,4.268,104.9000015258789,112.95579999999973,-88.73719999999958,0.2981888513785069,-0.2337200201062756,-0.1395000000000008,-0.1000000000000005,-0.8225002288818359,-0.1239990234375056,-0.02493307136373557,0.0,0.03293543711629332,-0.006194959715195791,0.10768407450432704,1.5525395123848893,-0.01731586742467317,0.02895812116732373,-0.042751257909807605,0.038231841606241004,-907.0,-1.0,-0.00017509687164743654,0.002011859701264609
2024-07-25,7205.455,388.4186,774.315,6052.5506000000005,14.345158371040725,4.188000000000001,104.09399871826172,-24.14719999999943,-105.40715,0.5855371589195126,0.0003157560286179,-0.0799999999999991,-0.0494999999999992,-0.8060028076171903,-1.3360015869140651,-0.042751257909807605,0.0,0.04967070843848095,-0.049037741150028125,0.05579527436250675,1.969766755309764,-0.016755753054203515,0.038231841606241004,0.0015264356496584863,0.04450325608294617,31.0,0.0,-0.0003514943153981772,0.0025646638560923997
2024-08-01,7178.391,379.1354,786.486,6042.7214,15.813928571428573,4.262,104.38199920654296,-9.829200000000128,45.99820000000091,1.4687702003878478,1.594896313364055,0.0739999999999989,-0.0060000000000002,0.2880004882812557,-1.386003112792963,0.0015264356496584863,0.15289982425280685,0.027974778451062575,-0.0638922128129602,0.02724713071804641,2.060039707282191,-0.005265622866537978,0.04450325608294617,-0.02448407674627273,0.05236907536186054,-498.0,-1.0,-0.00014102289370399227,0.0032220682368469117
2024-08-08,7175.256,307.29920000000004,770.931,6012.7696,16.25242825607064,4.12,104.38999938964844,-29.95180000000073,49.02759999999944,0.4384996846420677,2.790995895327935,-0.1419999999999994,-0.2875000000000005,0.0080001831054659,-1.332502365112305,-0.02448407674627273,0.9474353539619373,0.02972268071112679,-0.08808153229234883,-0.019470491580494964,2.107634284516497,-0.0016506569227128232,0.05236907536186054,0.053221112049088415,0.025903914845825615,1056.0,1.0,-0.0001214146839011356,0.004923688542534668
2024-08-15,7177.688,320.1892,794.12,6097.025799999999,24.046065217391305,3.886,103.05599975585938,84.25619999999981,20.32799999999952,7.793636961320665,10.286444005270091,-0.2339999999999999,-0.3819999999999997,-1.3339996337890625,-1.8440017700195312,0.053221112049088415,0.999999999998964,0.0461891830460217,-0.01498886440498215,0.030359432008677745,0.986120961457788,0.01440893290233669,0.025903914845825615,-0.00014355612446315114,0.02284697198117977,-3.0,0.0,0.000499229022313791,0.0024147038027998377
2024-08-22,7139.952,322.565,736.494,6063.3788,17.927982456140352,3.888,102.87799987792968,-33.646999999999025,10.828199999999924,-6.118082761250953,3.582824085099628,0.0020000000000002,-0.3000000000000002,-0.1779998779296931,-1.215998840332034,-0.00014355612446315114,0.0,0.015853264576029865,0.02885455776451029,0.03479057559212073,0.8598373551517908,-0.004659382818963165,0.02284697198117977,-0.008853898706612906,0.0198889139199535,-185.0,-1.0,2.5314083482946113e-05,0.00175001545292499
2024-08-29,7123.238,356.56440000000003,745.851,6080.893000000001,15.9369844789357,3.844,101.66800079345704,17.51420000000053,38.17160000000058,-1.990997977204653,0.1230559075071262,-0.0440000000000004,-0.4179999999999997,-1.2099990844726562,-2.713998413085946,-0.008853898706612906,0.0,0.019193857965451054,0.018190980715102167,0.0030877651845393483,0.7436870809881346,-0.011568178362238779,0.0198889139199535,-0.020751095498497074,0.03851188233309586,-429.75,-1.0,-8.600476573078835e-05,0.0024508744415104675
2024-09-05,7112.567,352.83525,733.959,6020.8226,15.974159292035395,3.834000000000001,100.90999908447266,-60.07040000000052,8.053000000000793,0.037174813099698,-0.2782689640352433,-0.0099999999999993,-0.2859999999999996,-0.7580017089843665,-3.4800003051757784,-0.020751095498497074,0.0015140045420113338,0.03256903353057199,0.02208726548817519,-0.042865739265866676,1.3255178665032656,-0.004213431073508689,0.03851188233309586,0.023853550295857895,0.03868135045142888,483.75,1.0,-0.00024640807412682554,0.0024534989895531748
2024-09-12,7115.001,289.3,755.958,6025.77275,17.443890160183066,3.8125,101.5,4.950149999999667,-71.25304999999935,1.4697308681476695,-6.602175057208239,-0.0215000000000005,-0.0735000000000001,0.5900009155273409,-1.555999755859375,0.023853550295857895,0.9999999999989889,0.047631087833363436,-0.006412173559354528,-0.027367903316469877,1.2552584854416202,0.008371011159439501,0.03868135045142888,0.021094455481307506,0.026442297349279848,438.0,1.0,0.00023868276696082982,0.003006796925636961
2024-09-19,7109.137,279.6564,771.194,6069.743,19.46368421052632,3.68,101.48200073242188,43.97025000000031,6.364199999999983,2.0197940503432505,1.5357017543859648,-0.1325000000000002,-0.2080000000000006,-0.0179992675781193,-1.3959991455078011,0.021094455481307506,0.9999999999980296,0.02393670333816784,0.014692685961784635,-0.007222794530810983,0.837390846311326,0.0005117009497133118,0.026442297349279848,0.012180598299668555,0.008311798116435117,258.25,1.0,0.00015871233613151488,0.0017207498601781342
