date,symbol,open,high,low,close,volume
2018-03-27 16:00:00,NQM18,9475.0,9498.75,9457.75,9483.0,15335
2018-03-27 20:00:00,NQM18,9483.25,9507.0,9452.5,9462.25,23276
2018-03-28 00:00:00,NQM18,9462.25,9490.5,9410.0,9425.5,48803
2018-03-28 04:00:00,NQM18,9425.0,9505.25,9411.75,9437.5,57970
2018-03-28 08:00:00,NQM18,9437.0,9499.25,9345.75,9413.0,511257
2018-03-28 12:00:00,NQM18,9412.75,9471.0,9369.25,9413.25,282682
2018-03-28 16:00:00,NQM18,9415.5,9433.0,9393.75,9420.75,11260
2018-03-28 20:00:00,NQM18,9421.0,9426.5,9395.25,9403.75,14124
2018-03-29 00:00:00,NQM18,9403.75,9444.5,9400.75,9440.0,23100
2018-03-29 04:00:00,NQM18,9439.0,9465.25,9427.5,9441.25,35728
2018-03-29 08:00:00,NQM18,9441.5,9501.75,9368.5,9484.5,310308
2018-03-29 12:00:00,NQM18,9484.0,9578.5,9458.5,9495.25,241491
2018-04-01 16:00:00,NQM18,9481.75,9513.25,9473.0,9491.0,10966
2018-04-01 20:00:00,NQM18,9490.5,9499.25,9479.25,9488.0,7280
2018-04-02 00:00:00,NQM18,9487.5,9492.75,9463.0,9472.25,8075
2018-04-02 04:00:00,NQM18,9472.25,9489.25,9452.0,9474.0,16292
2018-04-02 08:00:00,NQM18,9473.25,9495.0,9291.0,9339.75,349797
2018-04-02 12:00:00,NQM18,9339.75,9349.5,9251.25,9337.0,259018
2018-04-02 16:00:00,NQM18,9330.5,9349.0,9319.0,9345.5,9417
2018-04-02 20:00:00,NQM18,9345.5,9357.75,9328.25,9342.0,12361
2018-04-03 00:00:00,NQM18,9342.5,9364.25,9322.75,9348.25,18703
2018-04-03 04:00:00,NQM18,9347.25,9390.75,9340.5,9390.0,30769
2018-04-03 08:00:00,NQM18,9390.0,9407.5,9276.0,9324.25,374177
2018-04-03 12:00:00,NQM18,9324.0,9421.5,9295.75,9396.0,228615
2018-04-03 16:00:00,NQM18,9390.75,9394.25,9367.25,9373.0,6063
2018-04-03 20:00:00,NQM18,9373.0,9373.5,9355.5,9368.25,10994
2018-04-04 00:00:00,NQM18,9367.75,9369.25,9246.25,9274.0,37175
2018-04-04 04:00:00,NQM18,9274.0,9296.25,9231.5,9293.0,62864
2018-04-04 08:00:00,NQM18,9293.0,9431.25,9262.0,9403.25,315126
2018-04-04 12:00:00,NQM18,9403.5,9516.5,9360.25,9506.0,198533
2018-04-04 16:00:00,NQM18,9506.75,9528.75,9498.75,9514.75,11898
2018-04-04 20:00:00,NQM18,9514.25,9557.0,9506.75,9552.25,14241
2018-04-05 00:00:00,NQM18,9552.25,9579.25,9536.75,9548.25,25231
2018-04-05 04:00:00,NQM18,9548.5,9576.5,9529.5,9563.25,33271
2018-04-05 08:00:00,NQM18,9563.25,9570.5,9514.5,9544.75,237910
2018-04-05 12:00:00,NQM18,9544.75,9557.75,9483.75,9530.75,168705
2018-04-05 16:00:00,NQM18,9532.75,9536.0,9415.0,9444.0,31814
2018-04-05 20:00:00,NQM18,9444.0,9465.25,9410.0,9450.25,28167
2018-04-06 00:00:00,NQM18,9451.25,9478.5,9433.0,9473.0,18751
2018-04-06 04:00:00,NQM18,9473.5,9495.25,9440.75,9472.0,48567
2018-04-06 08:00:00,NQM18,9472.0,9524.0,9437.25,9480.5,260112
2018-04-06 12:00:00,NQM18,9480.0,9480.0,9333.25,9381.25,235714
2018-04-08 16:00:00,NQM18,9387.75,9431.0,9384.75,9425.25,10105
2018-04-08 20:00:00,NQM18,9425.25,9443.25,9409.25,9434.5,11321
2018-04-09 00:00:00,NQM18,9433.75,9447.5,9410.0,9438.5,19025
2018-04-09 04:00:00,NQM18,9438.5,9452.0,9413.0,9418.5,25415
2018-04-09 08:00:00,NQM18,9418.25,9542.75,9407.25,9522.75,225587
2018-04-09 12:00:00,NQM18,9522.75,9536.25,9393.75,9418.25,182609
2018-04-09 16:00:00,NQM18,9415.25,9425.5,9396.5,9416.5,10889
2018-04-09 20:00:00,NQM18,9416.75,9548.25,9416.0,9522.75,41091
2018-04-10 00:00:00,NQM18,9522.5,9549.5,9500.25,9516.0,27427
2018-04-10 04:00:00,NQM18,9516.0,9531.0,9498.5,9512.0,26511
2018-04-10 08:00:00,NQM18,9511.5,9541.5,9467.25,9503.5,252589
2018-04-10 12:00:00,NQM18,9503.5,9576.5,9494.0,9549.25,177557
2018-04-10 16:00:00,NQM18,9550.0,9552.25,9510.75,9518.5,11296
2018-04-10 20:00:00,NQM18,9518.25,9531.75,9515.5,9519.25,10739
2018-04-11 00:00:00,NQM18,9519.5,9526.75,9509.0,9517.5,7914
2018-04-11 04:00:00,NQM18,9517.75,9524.5,9475.5,9496.75,35622
2018-04-11 08:00:00,NQM18,9496.75,9588.0,9492.5,9546.5,231961
