,walcl,rrp,tga,net_liq,vix,us10y,dxy,net_liq_wow,net_liq_4w,vix_wow,vix_4w,us10y_wow,us10y_4w,dxy_wow,dxy_4w,nq_week_ret,nq_close_pos,nq_week_range,nq_mom_4w,nq_mom_12w,nq_vol_regime,es_nq_spread,realized_vol,fwd_return,fwd_vol,fwd_points,label,nq_1h_drift,nq_1h_vol,nq_lev_net_pct,nq_lev_wow,nq_lev_4w,nq_lev_pctile,nq_asset_mgr_net_pct,nq_positioning_signal,es_lev_net_pct,es_lev_wow,es_lev_4w,es_lev_pctile,es_asset_mgr_net_pct,es_positioning_signal
2023-01-05,8507.429,2303.504,423.625,5863.51075,23.415459770114943,3.825,104.1974983215332,-71.00505000000067,-146.2800499999994,-0.5707080303385723,0.6853671775223518,0.2070000000000003,0.1590000000000007,-0.1985023498535127,-1.8305015563964844,-0.015587749862461,0.0,0.0150521609538002,-0.0646128110406356,-0.026495710995448,0.4763124467545283,-0.0061082886949905,0.0163559215505057,0.0532041728763039,0.0166548245421826,714.0,1.0,-0.0001224411198841,0.0025158379591178,-0.0610293443283183,-0.0280476470890357,15174.0,0.6794871794871795,0.0374230902660089,0.0,-0.1258210073879193,-0.0158538081018142,172566.0,0.2179487179487179,0.2275412861811748,0.0
2023-01-12,8508.587,2200.4974,372.34,5780.3,22.90942196531792,3.7675,104.33249855041504,-83.21074999999928,-253.6206000000002,-0.5060378047970246,-0.0254622939413415,-0.0575000000000001,0.2635,0.1350002288818359,-0.725501632690424,0.0532041728763039,0.9999999999976232,0.0297686429885382,0.0054955804151031,0.0247784081640052,0.5170040081381022,0.0141399239396573,0.0166548245421826,-0.0125760577331257,0.0168490326341064,-177.75,-1.0,0.0004115319338155,0.0029951233645516,-0.007418518912114,0.0536108254162042,30332.0,0.903846153846154,0.0234817582094188,1.0,-0.1373518395859564,-0.0115308321980371,155153.0,0.1474358974358974,0.2170372293132358,-1.0
2023-01-19,8489.039,2128.733,339.018,5935.749599999999,22.51587962962963,3.532,103.11199951171876,155.449599999999,-131.58640000000196,-0.3935423356882879,-1.7762388213954274,-0.2355,0.008,-1.220499038696289,-1.337998962402338,-0.0125760577331257,0.0,0.0192028660994178,0.0221363702944192,0.0013991784311262,0.5560124748095825,0.0063833303957119,0.0168490326341064,0.053757277205553,0.0264761346469547,750.25,1.0,-5.4012181195246176e-05,0.0018191622630312,-0.0484100542138984,-0.0409915353017844,18493.0,0.7371794871794872,0.0688299655002464,0.0,-0.1551364137745096,-0.0177845741885532,161205.0,0.1282051282051282,0.2278356520772265,-1.0
2023-01-26,8470.557,2066.0076,491.848,6021.2880000000005,21.162159624413142,3.4450000000000003,102.25249862670898,85.53840000000127,86.77220000000034,-1.3537200052164842,-2.824008176040369,-0.0869999999999997,-0.1729999999999996,-0.8595008850097656,-2.1435020446777315,0.053757277205553,0.9999999999976732,0.0292217726855472,0.0787823216578029,0.0950891693659481,0.9180446669751215,0.0186194711223204,0.0264761346469547,0.0503178866487608,0.0381283013932916,740.0,1.0,0.0003909961402828,0.0022858092423583,-0.0653709797647401,-0.0169609255508416,-9896.0,0.6538461538461539,0.1023653255276984,0.0,-0.1878182635114895,-0.0326818497369799,-167755.0,0.0833333333333333,0.2573689308680108,-1.0
2023-02-02,8433.61,2040.449,560.089,5912.701400000001,20.50617021276596,3.482,101.90999908447266,-108.58659999999963,49.19065000000137,-0.6559894116471874,-2.909289557348984,0.0369999999999999,-0.3429999999999999,-0.3424995422363253,-2.287499237060544,0.0503178866487608,0.999999999998862,0.0568899103356747,0.1510059612518628,0.077631464201622,1.4270208268189966,0.0257077243489836,0.0381283013932916,-0.0272715501893633,0.0295469156025298,-421.25,-1.0,0.0003663826265764,0.0031802774429761,-0.1070112856762095,-0.0416403059114694,-14004.0,0.4743589743589743,0.1317514157298447,0.0,-0.1853221414151193,0.0024961220963702,-128399.0,0.0897435897435897,0.2624196258021365,-1.0
2023-02-09,8435.369,2057.9964,493.277,5833.072000000001,19.49319101123596,3.476,101.85599975585936,-79.6293999999998,52.77200000000085,-1.0129792015300048,-3.416230954081964,-0.0060000000000002,-0.2915000000000001,-0.0539993286132869,-2.476498794555667,-0.0272715501893633,0.0,0.0233773148533302,0.0630571671147588,0.0425513461004718,1.0944686246146589,-0.0066172381487794,0.0295469156025298,0.0037936140829604,0.0257898167625152,57.0,1.0,-0.0001425333760149,0.0030357689742012,-0.1017385589461624,0.005272726730047,-26514.0,0.5064102564102564,0.1365815643080061,0.0,-0.1922277809605907,-0.0069056395454713,-120048.0,0.0641025641025641,0.2784252012812533,-1.0
2023-02-16,8384.767,2054.3342,490.379,5884.095600000001,20.679977272727275,3.626,103.32000122070312,51.02359999999953,-51.65399999999863,1.1867862614913207,-1.835902356902356,0.1499999999999999,0.0939999999999998,1.4640014648437472,0.2080017089843693,0.0037936140829604,0.3550488599339282,0.0254438164067032,0.0806806986117329,0.0355665413598365,0.937681577899692,0.0021021927604802,0.0257898167625152,-0.0182333537767905,0.0256223527890207,-275.0,-1.0,-9.37884560013048e-07,0.0023297961468305,-0.1395136516938411,-0.0377750927476786,-26689.0,0.2884615384615384,0.1750732171883167,0.0,-0.1910908749073346,0.0011369060532561,-77001.0,0.0705128205128205,0.2744527019326029,-1.0
2023-02-23,8382.19,2091.748,477.333,5840.0538,21.0412610619469,3.78,103.5979995727539,-44.04180000000088,-181.2342000000008,0.3612837892196268,-0.1208985624662446,0.1539999999999999,0.3349999999999995,0.2779983520507869,1.345500946044922,-0.0182333537767905,0.3776641091206218,0.0198044876665147,0.0068507122700847,0.0029124405235618,0.9837223311560732,-0.0011366306487234,0.0256223527890207,-0.0098262675378615,0.0200891632007898,-145.5,-1.0,-0.000133467118277,0.0019476519946587,-0.1659980302986415,-0.0264843786048003,-27868.0,0.2115384615384615,0.1664759725400457,0.0,-0.1990934077974442,-0.0080025328901096,-27144.0,0.0448717948717948,0.272080726391109,-1.0
2023-03-02,8339.684,2163.7832,381.245,5813.109000000001,21.94,3.895,104.30749893188477,-26.944799999998395,-99.59239999999954,0.8987389380530999,1.4338297872340426,0.1150000000000002,0.4129999999999998,0.7094993591308594,2.3974998474121065,-0.0098262675378615,0.8251028806516452,0.0082868688935495,-0.0508043893438643,0.021938384331219,0.7786763216660717,-0.002525038139676,0.0200891632007898,-0.0037342063532661,0.0281235273984455,-54.75,-1.0,-8.096148796914063e-05,0.0018913551873958,-0.1298411834645933,0.0361568468340481,-5527.0,0.3525641025641026,0.1247684469077179,0.0,-0.1710375485782984,0.0280558592191458,20358.0,0.1346153846153846,0.2627585821258856,-1.0
2023-03-09,8342.283,2193.9996,333.35,5794.6558,21.225386363636364,3.976,104.8520004272461,-18.453200000001743,-38.41620000000148,-0.7146136363636373,1.73219535240041,0.0809999999999999,0.5,0.544501495361331,2.9960006713867244,-0.0037342063532661,0.0,0.0216505784897651,-0.0278364752666344,0.0391448948014299,1.1162000452551364,0.0102726077725248,0.0281235273984455,0.0365920449099745,0.0312319625172168,534.5,1.0,-4.9432140379439454e-05,0.0021384548119233,-0.1162932008216124,0.0135479826429809,-2867.0,0.4487179487179487,0.0901499703637983,0.0,-0.1414555175450593,0.0295820310332391,97344.0,0.1858974358974359,0.2356874234262542,-1.0
